frame_000007.jpg: left_vel=-0.002222 right_vel=0.005518 diff=-0.007739 decision=left (22.4 ms)
frame_000270.jpg: left_vel=0.005688 right_vel=-0.000391 diff=+0.006079 decision=right (23.3 ms)
frame_000271.jpg: left_vel=0.010962 right_vel=0.009033 diff=+0.001929 decision=right (23.2 ms)
frame_000291.jpg: left_vel=0.002136 right_vel=-0.007617 diff=+0.009753 decision=right (22.5 ms)
frame_000292.jpg: left_vel=0.004883 right_vel=-0.000098 diff=+0.004980 decision=right (23.3 ms)
frame_000312.jpg: left_vel=0.001843 right_vel=-0.005078 diff=+0.006921 decision=right (23.2 ms)
frame_000313.jpg: left_vel=0.006567 right_vel=0.003516 diff=+0.003052 decision=right (23.0 ms)
frame_000330.jpg: left_vel=0.005688 right_vel=-0.000391 diff=+0.006079 decision=right (23.2 ms)
frame_000331.jpg: left_vel=0.010962 right_vel=0.009033 diff=+0.001929 decision=right (22.7 ms)
frame_000351.jpg: left_vel=0.001843 right_vel=-0.005078 diff=+0.006921 decision=right (23.1 ms)
frame_000352.jpg: left_vel=0.006567 right_vel=0.003516 diff=+0.003052 decision=right (23.1 ms)
frame_000371.jpg: left_vel=0.004517 right_vel=-0.003613 diff=+0.008130 decision=right (23.2 ms)
frame_000372.jpg: left_vel=0.004883 right_vel=-0.000098 diff=+0.004980 decision=right (23.1 ms)
frame_000392.jpg: left_vel=0.004517 right_vel=-0.003613 diff=+0.008130 decision=right (23.1 ms)
frame_000393.jpg: left_vel=0.004883 right_vel=-0.000098 diff=+0.004980 decision=right (22.6 ms)
frame_000411.jpg: left_vel=0.001404 right_vel=-0.000879 diff=+0.002283 decision=right (22.6 ms)
frame_000433.jpg: left_vel=-0.004858 right_vel=0.004150 diff=-0.009009 decision=left (23.2 ms)
frame_000462.jpg: left_vel=-0.009875 right_vel=0.007959 diff=-0.017834 decision=left (22.6 ms)
frame_000463.jpg: left_vel=-0.002808 right_vel=0.005176 diff=-0.007983 decision=left (23.1 ms)
frame_000490.jpg: left_vel=-0.004858 right_vel=0.004150 diff=-0.009009 decision=left (23.0 ms)
frame_000491.jpg: left_vel=0.005908 right_vel=0.002881 diff=+0.003027 decision=right (23.0 ms)
frame_000518.jpg: left_vel=-0.009875 right_vel=0.007959 diff=-0.017834 decision=left (22.8 ms)
frame_000519.jpg: left_vel=-0.002808 right_vel=0.005176 diff=-0.007983 decision=left (22.7 ms)
frame_000541.jpg: left_vel=-0.004858 right_vel=0.004150 diff=-0.009009 decision=left (23.1 ms)
frame_000542.jpg: left_vel=0.004041 right_vel=0.005811 diff=-0.001770 decision=left (23.2 ms)
frame_000564.jpg: left_vel=-0.009875 right_vel=0.007959 diff=-0.017834 decision=left (22.6 ms)
frame_000565.jpg: left_vel=-0.002808 right_vel=0.005176 diff=-0.007983 decision=left (23.0 ms)
frame_000585.jpg: left_vel=-0.009875 right_vel=0.007959 diff=-0.017834 decision=left (23.2 ms)
frame_000586.jpg: left_vel=-0.002808 right_vel=0.005176 diff=-0.007983 decision=left (22.6 ms)
frame_000607.jpg: left_vel=-0.009875 right_vel=0.007959 diff=-0.017834 decision=left (21.6 ms)
frame_000608.jpg: left_vel=-0.000024 right_vel=0.003857 diff=-0.003882 decision=left (21.9 ms)
frame_000628.jpg: left_vel=-0.009875 right_vel=0.007959 diff=-0.017834 decision=left (22.9 ms)
frame_000629.jpg: left_vel=-0.000024 right_vel=0.003857 diff=-0.003882 decision=left (22.8 ms)
frame_000630.jpg: left_vel=0.008398 right_vel=0.006348 diff=+0.002051 decision=right (23.0 ms)
frame_000649.jpg: left_vel=-0.009875 right_vel=0.007959 diff=-0.017834 decision=left (23.3 ms)
frame_000650.jpg: left_vel=-0.000024 right_vel=0.003857 diff=-0.003882 decision=left (23.2 ms)
---
summary: 56/56 frames, avg inference 23.0 ms
